"","Beach","Zipcode"
"1","Atlantic",32224
"2","Beverly",32136
"3","Daytona",32114
"4","Delray",33444
"5","Destin",32540
"6","Ft. Myers",33931
"7","Flagler",32136
"8","Gulf Stream",33483
"9","Gulf Breeze",32561
"10","Hallandale",33009
"11","Hollywood",33004
"12","Indiatlantic",32903
"13","Jacksonville",32227
"14","Juno",33408
"15","Jupiter",33410
"16","Key Largo",33037
"17","Key West",33040
"18","Marathon",33050
"19","Marco Island",34145
"20","Melbourne",32951
"21","Miami Beach",33109
"22","N Palm Beach",33401
"23","Palm Beach",33408
"24","Palm Beach Shores",33404
"25","Panama City",32401
"26","Pensacola",32561
"27","Ponte Verdra",32082
"28","Sarasota",34242
"29","South Beach",33139
"30","St. Augustine",32080
"31","St. Pete",33706
"32","Atlantic",32224
"33","Beverly",32136
"34","Daytona",32114
"35","Delray",33444
"36","Destin",32540
"37","Ft. Myers",33931
"38","Flagler",32136
"39","Gulf Stream",33483
"40","Gulf Breeze",32561
"41","Hallandale",33009
"42","Hollywood",33004
"43","Indiatlantic",32903
"44","Jacksonville",32227
"45","Juno",33408
"46","Jupiter",33410
"47","Key Largo",33037
"48","Key West",33040
"49","Marathon",33050
"50","Marco Island",34145
"51","Melbourne",32951
"52","Miami Beach",33109
"53","N Palm Beach",33401
"54","Palm Beach",33408
"55","Palm Beach Shores",33404
"56","Panama City",32401
"57","Pensacola",32561
"58","Ponte Verdra",32082
"59","Sarasota",34242
"60","South Beach",33139
"61","St. Augustine",32080
"62","St. Pete",33706
"63","Buford",30518
"64","Cumberland",31527
"65","Jeckyll",31527
"66","Savanah",31421
"67","Sea Island",31561
"68","Tybee Island",31328
"69","St. Simons",31522
"70","Hanauma Bay",96825
"71","Hapuna",96743
"72","Ka'anapali",96761
"73","Kailua",96734
"74","Maini'owala",96740
"75","Punalu'u",96777
"76","Wai Kiki",96815
"77","Wailea",96753
"78","Ocean City",21842
"79","Calvert Cliffs",20657
"80","North Beach",20714
"81","Martha's Vinyard",2557
"82","Nantucket",2554
"83","P-Town",2657
"84","Revere Beach",2151
"85","Higgins",4070
"86","Reid SP",4548
"87","Biloxi",39530
"88","Gulfport",39501
"89","Long Beach",39560
"90","Ocean Springs",39564
"91","Pascagoula",39567
"92","Hampton",3842
"93","Rye",3870
"94","Depoe Bay",97341
"95","Seaside",97138
"96","Alki Beach",98116
"97","Allenhurst",7711
"98","Asbury Pk",7712
"99","Atlantic City",8401
"100","Avalon",8202
"101","Avon",7717
"102","Barnegat Light",8006
"103","Bay Head",8742
"104","Beach Haven",8008
"105","Belmar",7715
"106","Bradley",7720
"107","Brick",8723
"108","Brigantine",8203
"109","Cape May",8204
"110","Deal",7723
"111","Harvey Cedars",8008
"112","Lavelle",8735
"113","Loch Arbor",7711
"114","Long Branch",7740
"115","Longport",8403
"116","Manasquan",8736
"117","Margate",8402
"118","Monmouth",7750
"119","N Wildwood",8260
"120","Ocean City",8226
"121","Ocean Grove",7756
"122","Pt. Pleasant",8742
"123","Sea Bright",7760
"124","Sea Girt",8750
"125","Sea Isle",8243
"126","Seaside Hts.",8751
"127","Seaside Pk.",8752
"128","Ship Bottom",8008
"129","Stone Harbor",8247
"130","Strathmere",8248
"131","Surf City",8008
"132","Ventnor",8406
"133","Wildwood",8260
"134","Atlantic",11509
"135","Brighton",11235
"136","Coney Is.",11224
"137","E. Hampton",11937
"138","Fire Is.",11702
"139","Lido",11561
"140","Long ",11561
"141","Montauk",11954
"142","Ocean",11770
"143","Southampton",11968
"144","Pt. Lookout",11569
"145","Rockaway",11693
"146","Westhampton",11978
"147","Wrightsville",28480
"148","Kill Devil Hills",27948
"149","Ocean Isle",28469
"150","Buxton",27920
"151","Nags Head",27959
"152","Duck",27949
"153","Kitty Hawk",27949
"154","Atlantic",28512
"155","Corolla",27927
"156","Sunset",28468
"157","Carolina",28428
"158","Bald Head ",28461
"159","Surf City",28445
"160","Narragansett",2882
"161","Misquamicut",2891
"162","Myrtle Beach",29577
"163","Hilton Head",29928
"164","Mt. Pleasant",29464
"165","Isle of Palms",29451
"166","Bluffton",29910
"167","N Myrtle Beach",29582
"168","Surfside",29575
"169","Galveston",77550
"170","Padre Island",78418
"171","S. Padre Island",78597
"172","Surfside",77541
"173","Chincoteague",23336
"174","Colonial",22443
"175","Virginia",23450
"176","Boqueron",623
"177","Crash Boat",603
"178","Escambron",901
"179","Flamenco",775
"180","Guillgan Is",653
"181","Jobos",662
"182","Sun Bay",765
"183","Seven Seas",738
